system_or_case,kind,unit,capacity_target,mechanism,state_carrier,timescale,authority,implementation_maturity,evidence_status,observable_outcome,principal_limit,experiment_links,source_locator
Physarum maze preparation,laboratory biological system,whole organism in prepared maze,spatial adaptation,selective network pruning,tube network and environment,experimental adaptation interval,not a normative-authority experiment,experimentally exercised,primary methods/results inspected,retained routes after endpoint feeding,organism already occupied maze; not unknown-maze entry,E4,B01
Physarum transport network,laboratory biological system and model,organism plus nutrient layout,network efficiency and resilience,growth and pruning,spatial tube network,growth interval and failure probe,not assessed,experimentally exercised,reported study; not reproduced,cost/efficiency and single-link-failure performance,restricted robustness metric; no transport-planning superiority,E4,B02
Physarum external traces,laboratory biological system,organism and substrate,history-sensitive navigation,trace deposition and avoidance,environmental slime trace,within-run history,not assessed,experimentally exercised,primary interventions inspected,performance under trace-obscuring manipulation,functional external memory does not establish internal map,E4,B03
Physarum habituation,laboratory biological system,organism with stimulus history,response adaptation and retention,history-dependent response mechanisms,organism state; chemical accounts tested separately,training and recovery intervals,not assessed,experimentally exercised,primary controls and related sources inspected,response decrement; specificity and recovery,caffeine recovery incomplete; protocol-dependent replication,E2;E4,B04 and biology ledger
Cellular spaced stimulation,laboratory cellular preparation,cell population and reporter,persistent response to temporal pattern,signalling and transcription,cellular molecular state,stimulation and delayed readout,not assessed,experimentally exercised,primary report inspected; no reanalysis,reporter difference after spaced stimulation,proxy; no conscious-recollection conclusion,E4,B08
Ant collective decisions,biological collective,colony and choice environment,distributed choice,recruitment and quorum dynamics,participant states and local interactions,decision episode,biological coordination; no institutional legitimacy claim,experimentally exercised,primary evidence in biology section,choice quality under task conditions,group advantage can reverse with task structure,E5,biology collective-decision section
Honeybee stop signals,biological collective,swarm and candidate sites,deadlock avoidance,selective inhibitory signalling,interacting scouts and recruitment,site-selection episode,not equivalent to normative veto,observed signalling plus model,mechanism observation; model-level consequence,inhibition patterns and model deadlock outcomes,model benefit not causal ablation in natural swarm,E5;E9,biology honeybee section
Bacterial potassium relay,biological community,biofilm and connected cells,spatial physiological coordination,electrical ion signalling,physiological states and environment,growth/signalling episode,not assessed,experimentally exercised,primary study inspected,spatially relayed physiological response,not evidence of learned memory,E4,biology bacterial section
LangGraph,software orchestration framework,graph execution and persisted state,control and resumable execution,nodes; reducers; checkpoints; interrupts,application state and checkpoints,node; run; resumed run,application-defined permission; interrupt alone insufficient,documented software,official docs; no deployed-runtime validation,resumption and state transitions,resumed node reexecutes prior code; side-effect design matters,E5;E7,agent-coordination section; official Interrupts documentation
AutoGen Core,software coordination framework,routed agent runtime,message-based coordination,topics; handlers; runtime routing,agent/application state,message and session,developer-defined,documented software,official primary documentation,message handling and orchestration,interface existence does not establish task effectiveness,E5,agent-coordination section
CrewAI 1.15.20,software coordination framework,crew or flow,role/task coordination,manager/sequential process; flows,crew and flow state,task and workflow,configured roles and manager policies,versioned software,primary version/docs inspected,task routing and completion,manager role is not proof of better collective reasoning,E5,agent-coordination section
A2A,interoperability protocol,client/server task exchange,cross-system task exchange,task/message lifecycle,protocol task state,request through task lifetime,authorization remains implementation-specific,specified protocol,official specification inspected,task-status and cancellation exchanges,cancellation is attempted; not guaranteed downstream effect removal,E7;E11,agent-coordination section
Temporal,durable workflow platform,workflow and activities,continuity through execution failures,history and replay; activity execution,durable execution history,workflow lifetime,application and service controls,operational software category,official documentation; no local runtime test,recovery and workflow progress,durability alone does not confer institutional learning,E5;E6;E7,agent-coordination section
MemoryAgentBench,research benchmark,agent and interaction history,retrieval; test-time learning; long-range understanding; conflict resolution,incremental task sequences,agent memory implementation under test,multi-turn history,not authority-withdrawal benchmark,published research benchmark,v1 primary study inspected,task-specific benchmark scores,does not establish successor continuity or execution-state forgetting,E1;E2;E7,AL ledger; arXiv:2507.05257v1
STALE,research benchmark and proposed memory prototype,agent and constructed scenario,state resolution; stale-premise resistance; implicit adaptation,generated/revised conflict scenarios and probes,memory/state under test,scenario and downstream probe,factual invalidation distinct from authorization,research benchmark/prototype,v1 methods/results targeted,three-probe accuracy,ambiguous changed conditions can admit multiple valid interpretations,E2;E7,AL ledger; arXiv:2605.06527v1
Supersede,research environment and method,bounded-note agent,memory updating,note rewriting and preliminary training,bounded notes,session sequence,not authorization study,research prototype,v1 preliminary reported results,update-item accuracy,shared LongMemEval substrate; single training run,E2;E7;E10,AL ledger; arXiv:2606.27472v1
Oblivion,research memory-control method,agent retrieval/write system,selective accessibility,decay; gating; usage reinforcement,recoverable memory traces,interactive sessions,accessibility not normative authority,research prototype,v1 reported evaluations,LongMemEval/GoodAILTM task outcomes,decay does not establish deletion; use may reinforce errors,E7;E9,AL ledger; arXiv:2604.00131v1
DaRE forests,machine-unlearning algorithm,trained random forest and deletion operation,training-influence removal,cached structure and randomization,training-derived model state,deletion/retraining comparison,deletion request external to guarantee,research algorithm,primary abstract; exactness claim scoped to algorithm,equivalence to retraining remaining data,not a guarantee for arbitrary LLM runtime,E7,Brophy and Lowd 2021; AL ledger
Transactive-memory training,organisational research mechanism,trained group and task,location and coordination of expertise,joint training and knowledge of who knows,participants and group routines,training through task performance,role/incentive context matters,empirically studied human mechanism,primary literature with declared access limits,group task performance,complete turnover and software transport not established,E3;E6,institutional section; I ledger
Distributed cockpit cognition,situated organisational analysis,people plus cockpit representations,coordinated memory and computation,representation propagation and task procedure,instruments; speech; participant state,flight-task episode,operational roles and procedures,observed sociotechnical arrangement,selected primary text,organised task computation,descriptive mechanism is not comparative causal effect,E4;E5,Hutchins; I ledger
Engraph Practice at pinned revision,evolving software/practice arrangement,participants; contracts; tools; documents; owners,coordination; continuity; correction; prospective learning,rules; watcher loops; memory layers; governance,durable files and runtime state,iteration through succession,explicit ownership and authority contracts,mixed: authored; implemented; partially exercised,static code/contracts; retrospectives; no new outcome trial,some operational episodes and implementation responses,no established general learning advantage; evaluation suite unexecuted in inspected status,E1–E12,OCE chapter; commit 123d2e3e9878b520c7fe1c51a39a8c1f324c1091
AC-2026-09-09 capacity framework,provisional research instrument,arrangement × task × history × resources × time,explanatory and predictive comparison,operational dimensions and causal contrasts,measurement and source records,prospective multi-stage studies,research owner and protected evaluation,authored proposal,conceptual synthesis; not empirically validated,held-out intervention prediction and decision utility,may be redundant or outperformed by simpler models,E1–E12,framework and experimental programme
